"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"CIRO FERREIRA GOMES";"CIRO GOMES";"Presidente";12;"PDT";"PDT";"Deferido";"Não eleito"
"JOSE MARIA EYMAEL";"CONSTITUINTE EYMAEL";"Presidente";27;"DC";"DC";"Deferido";"Não eleito"
"LUIZ FELIPE CHAVES D'AVILA";"FELIPE D'AVILA";"Presidente";30;"NOVO";"NOVO";"Deferido";"Não eleito"
"JAIR MESSIAS BOLSONARO";"JAIR BOLSONARO";"Presidente";22;"PL";"Pelo bem do Brasil";"Deferido";"2º turno"
"LEONARDO PÉRICLES VIEIRA ROQUE";"LÉO PÉRICLES";"Presidente";80;"UP";"UP";"Deferido";"Não eleito"
"LUIZ INÁCIO LULA DA SILVA";"LULA";"Presidente";13;"PT";"COLIGAÇÃO BRASIL DA ESPERANÇA";"Deferido";"2º turno"
"PABLO HENRIQUE COSTA MARÇAL";"PABLO MARÇAL";"Presidente";90;"PROS";"PROS";"Cancelado";"Concorrendo"
"KELMON LUIS DA SILVA SOUZA";"PADRE KELMON";"Presidente";14;"PTB";"PTB";"Deferido";"Não eleito"
"ROBERTO JEFFERSON MONTEIRO FRANCISCO";"ROBERTO JEFFERSON";"Presidente";14;"PTB";"PTB";"Indeferido";"Concorrendo"
"SIMONE NASSAR TEBET";"SIMONE TEBET";"Presidente";15;"MDB";"Coligação Brasil para Todos";"Deferido";"Não eleito"
"SOFIA PADUA MANZANO";"SOFIA MANZANO";"Presidente";21;"PCB";"PCB";"Deferido";"Não eleito"
"SORAYA VIEIRA THRONICKE";"SORAYA THRONICKE";"Presidente";44;"UNIÃO";"UNIÃO";"Deferido";"Não eleito"
"VERA LUCIA PEREIRA DA SILVA SALGADO";"VERA";"Presidente";16;"PSTU";"PSTU";"Deferido";"Não eleito"
